"x";"y";"pop"
"564";346692.06045;6789860.29;4
"565";346692.38045;6789920.54;5
"566";346693.29045;6792550.46;4
"567";346697.03045;6789899.17;4
"568";346699.56045;6792570.41;5
"569";346701.85045;6789722.68;4
"570";346702.23045;6790025.9;2
"571";346703.13045;6789909.34;4
"572";346703.30045;6790181.36;2
"573";346705.57045;6789960.84;5
"574";346707.42045;6789865.99;5
"575";346709.97045;6789985.65;2
"576";346712.22045;6790456.57;1
"577";346712.43045;6790164.65;2
"578";346715.78045;6790205.87;4
"579";346718.62045;6789857.29;4
"580";346722.53045;6790204.56;2.5
"581";346724.47045;6790149.29;2
"582";346724.57045;6789992.23;3
"583";346724.78045;6790040.61;2
"584";346725.14045;6790003.05;2
"585";346728.26045;6790204.28;4
"586";346728.43045;6790014.73;5
"587";346730.45045;6790169.19;5
"588";346732.77045;6790057.1;2
"589";346733.98045;6790204.88;4
"590";346734.85045;6792493.41;5
"591";346735.14045;6789849.33;4
"592";346735.33045;6789928.49;4
"593";346738.29045;6790169.2;1
"594";346740.15045;6790204.45;2.5
"595";346740.76045;6789993.45;3
"596";346741.86045;6790044.09;4
"597";346743.16045;6790117.47;2
"598";346745.15045;6790146.37;4
"599";346745.69045;6790169.36;3
"600";346746.31045;6789932.64;3
"601";346746.45045;6790203.57;4
"602";346746.73045;6792599.5;2
"603";346748.60045;6789999.95;5
"604";346749.74045;6790058.5;4
"605";346752.32045;6790204.31;3
"606";346752.55046;6787748.12;4
"607";346752.95045;6790169.22;4
"608";346754.01045;6789843.25;5
"609";346755.54045;6790069.54;2
"610";346755.73045;6790271.85;29
"611";346758.51045;6789761.99;1
"612";346760.35045;6790169.23;1
"613";346760.78045;6789936.56;3
"614";346767.38045;6789879.93;1
"615";346770.97045;6790059.65;3
"616";346771.07045;6789791.75;6
"617";346772.08045;6789837.63;4
"618";346772.16045;6790003.07;3
"619";346773.05045;6789943.47;2
"620";346773.56045;6790168.53;6
"621";346774.59045;6792477.65;2
"622";346779.95045;6790168.54;5
"623";346780.26046;6788141.07;1
"624";346781.68045;6790106.95;2
"625";346782.11045;6789885.71;4
"626";346782.89045;6790022.06;4
"627";346782.97045;6790046.72;4
"628";346786.05045;6790168.41;3
"629";346786.48045;6790204.81;4
"630";346787.65045;6789799.07;1
"631";346789.86045;6789832.9;4
"632";346790.69045;6789950.63;4
"633";346791.69045;6792615.71;3
"634";346792.29045;6790168.56;4
"635";346792.80045;6790035.29;3
"636";346793.87046;6788112.41;4
"637";346795.25045;6790131.11;1
"638";346798.10045;6790168.43;3
"639";346800.35045;6790907.72;2
"640";346800.87045;6790300.56;6
"641";346802.42045;6790047.09;4
"642";346804.05045;6790168.44;5
"643";346804.27046;6787705.45;4
"644";346804.90045;6789884.73;4
"645";346807.12045;6792611.75;1
"646";346807.66045;6789746.26;3
"647";346807.86045;6789829.94;2
"648";346808.62045;6789966.69;3
"649";346809.99045;6790168.72;4
"650";346813.54045;6790131.28;8
"651";346814.72045;6789900.73;4
"652";346814.76045;6790240.46;24
"653";346815.07045;6790081.94;5
"654";346815.57045;6789789.26;4
"655";346816.09045;6790168.59;3
"656";346819.32045;6790327.8;11
"657";346819.61045;6789880.4;4
"658";346823.12045;6790131.44;6
"659";346823.81045;6789978.08;5
"660";346823.96046;6788137.29;2
"661";346826.61045;6789986.46;5
"662";346827.26045;6789820.98;4
"663";346833.03045;6790278.92;58
"664";346833.19045;6789994.58;2
"665";346833.57045;6789908.13;4
"666";346835.02045;6792055.77;4
"667";346838.11045;6790002.27;4
"668";346840.12045;6789928.9;3
"669";346842.17045;6789900.49;3
"670";346844.38045;6791413.42;2
"671";346845.83045;6789810.4;2
"672";346846.98045;6790013.53;2
"673";346849.10045;6790853.36;2
"674";346849.59045;6790295.81;3
"675";346850.34045;6790021.09;2
"676";346850.66045;6790164.25;30
"677";346853.51045;6789828.69;5
"678";346856.97045;6789853.72;3
"679";346858.12045;6789945.93;6
"680";346858.48045;6790091.17;2
"681";346859.92045;6790207.34;48
"682";346860.50045;6790106.4;4
"683";346861.40045;6789799.27;4
"684";346862.03045;6790317.58;5
"685";346863.05045;6790136.54;5
"686";346865.19045;6789821.82;4
"687";346866.42045;6789870.72;3
"688";346866.97045;6789940.55;2.5
"689";346868.09045;6789846.94;4
"690";346872.47045;6790256.58;22
"691";346872.66045;6789854.17;3
"692";346875.69045;6789815.8;3
"693";346876.01045;6789883.83;4
"694";346876.32046;6787675.35;3
"695";346878.01045;6789860.84;4
"696";346878.18045;6789789.52;4
"697";346880.12045;6792252.59;2
"698";346880.16045;6792487.32;2
"699";346880.85045;6789868.39;3
"700";346881.97045;6789929.8;4
"701";346886.16045;6789808.38;4
"702";346886.94045;6789901.74;3
"703";346887.13045;6789988.05;2
"704";346887.31045;6789875.84;3
"705";346893.45045;6789780.38;2
"706";346894.39045;6789981.78;4
"707";346894.65045;6789733.56;2
"708";346895.95045;6792663.04;2
"709";346896.64045;6789801.24;5.5
"710";346900.51045;6790766.45;2
"711";346902.30045;6790716.69;2
"712";346902.86045;6789977.02;5
"713";346904.96045;6793103.1;1
"714";346907.42045;6789795.21;5
"715";346909.82045;6789971.35;4
"716";346913.75045;6789908.15;1
"717";346917.72045;6789919.29;2
"718";346922.58045;6789793.93;11
"719";346922.58045;6789926.02;2
"720";346923.13045;6792447.35;4
"721";346924.63045;6789828.76;4
"722";346926.44045;6789837.4;5
"723";346927.69045;6792272.51;4
"724";346928.61045;6790878.65;2
"725";346930.10045;6789936.62;4
"726";346931.72045;6790675.11;3
"727";346932.23045;6789845.55;3
"728";346934.30045;6789727.8;4
"729";346934.39045;6789944.68;3
"730";346934.83045;6789824.34;29
"731";346937.20045;6790718.18;1
"732";346937.37045;6792432.99;2
"733";346941.00045;6789952.35;1
"734";346941.76045;6792396.39;2
"735";346944.74045;6790272.33;1
"736";346946.36045;6790531.63;4
"737";346952.71045;6789634.29;2
"738";346954.97045;6792685.31;2
"739";346965.58045;6792205.09;2
"740";346976.06045;6790641.98;4
"741";346977.93045;6790538.26;3
"742";346978.92045;6792389.31;2
"743";346983.93045;6790465.81;7
"744";346992.86045;6793771.59;2
"745";346994.34045;6792935.41;5
"746";347002.72045;6792339.8;1
"747";347008.28045;6792099.22;2
"748";347011.43045;6790714.06;2
"749";347016.12045;6792563.96;2
"750";347017.63045;6789503.91;1
"751";347020.95045;6789699.25;3
"752";347022.08045;6789656.12;3
"753";347026.04045;6790457.51;4
"754";347040.36045;6789503.3;8
"755";347041.80045;6793585.63;2
"756";347043.56045;6792195.78;2
"757";347044.84045;6790548.04;2
"758";347047.31045;6793763.55;8
"759";347053.35045;6790490.3;3
"760";347054.28045;6789668.32;4
"761";347064.37045;6790458.68;5
"762";347064.89045;6790385.31;2
"763";347068.15045;6790128.67;4
"764";347068.59045;6790576.28;3
"765";347068.98045;6792369.48;2
"766";347076.38045;6790483.84;2
"767";347079.12045;6790527.01;3
"768";347082.49045;6790273.32;2
"769";347086.97045;6792167.41;2
"770";347089.09045;6790375.18;2
"771";347097.89045;6790536.16;2
"772";347102.92045;6789668.56;6
"773";347106.89045;6790532.18;1
"774";347111.13045;6790173.57;3
"775";347116.28045;6791005.18;5
"776";347117.49045;6792262.36;2
"777";347120.52045;6790447.63;1
"778";347124.32045;6790598.39;3
